Country_Region,Province_State,Confirmed,Deaths
Afghanistan,,174214,7619
Albania,,272030,3478
Algeria,,265186,6852
Andorra,,38434,151
Angola,,98796,1900
Antarctica,,11,0
Antigua and Barbuda,,7449,135
Argentina,,8929898,126624
Armenia,,421008,8516
Australia,Australian Capital Territory,53607,34
Australia,New South Wales,1361680,1936
Australia,Northern Territory,42967,28
Australia,Queensland,585499,589
Australia,South Australia,158707,188
Australia,Tasmania,49708,26
Australia,Victoria,1073518,2590
Australia,Western Australia,18973,11
Austria,,2808008,14960
Azerbaijan,,788525,9488
Bahamas,,33169,771
Bahrain,,523654,1458
Bangladesh,,1946369,29064
Barbados,,55863,316
Belarus,,927464,6535
Belgium,Antwerp,541764,0
Belgium,Brussels,413987,0
Belgium,East Flanders,459941,0
Belgium,Flemish Brabant,331063,0
Belgium,Hainaut,418416,0
Belgium,Liege,347471,0
Belgium,Limburg,254811,0
Belgium,Luxembourg,94577,0
Belgium,Namur,162344,0
Belgium,Unknown,52992,30259
Belgium,Walloon Brabant,136179,0
Belgium,West Flanders,372747,0
Belize,,56876,651
Benin,,26575,163
Bhutan,,14120,6
Bolivia,,894200,21453
Bosnia and Herzegovina,,372139,15519
Botswana,,263950,2619
Brazil,Acre,122060,1979
Brazil,Alagoas,292568,6726
Brazil,Amapa,160128,2109
Brazil,Amazonas,574304,14124
Brazil,Bahia,1507386,29336
Brazil,Ceara,1229820,26385
Brazil,Distrito Federal,685097,11461
Brazil,Espirito Santo,1025714,14166
Brazil,Goias,1178585,25807
Brazil,Maranhao,414524,10824
Brazil,Mato Grosso,710157,14754
Brazil,Mato Grosso do Sul,505198,10377
Brazil,Minas Gerais,3221769,59789
Brazil,Para,722841,17868
Brazil,Paraiba,578882,10121
Brazil,Parana,2350005,42443
Brazil,Pernambuco,844454,21128
Brazil,Piaui,365598,7675
Brazil,Rio Grande do Norte,479598,8062
Brazil,Rio Grande do Sul,2177227,38441
Brazil,Rio de Janeiro,2006761,71875
Brazil,Rondonia,378013,7089
Brazil,Roraima,153932,2134
Brazil,Santa Catarina,1627869,21439
Brazil,Sao Paulo,5045451,165033
Brazil,Sergipe,321030,6265
Brazil,Tocantins,299081,4112
Brunei,,80749,135
Bulgaria,,1099423,35790
Burkina Faso,,20751,375
Burma,,595821,19383
Burundi,,38150,38
Cabo Verde,,55890,401
Cambodia,,131738,3038
Cameroon,,119322,1926
Canada,Alberta,527604,3954
Canada,British Columbia,349944,2903
Canada,Diamond Princess,0,1
Canada,Grand Princess,13,0
Canada,Manitoba,131526,1690
Canada,New Brunswick,38937,309
Canada,Newfoundland and Labrador,25728,66
Canada,Northwest Territories,9122,19
Canada,Nova Scotia,46795,208
Canada,Nunavut,3055,5
Canada,Ontario,1123556,12573
Canada,Prince Edward Island,16296,16
Canada,Quebec,926918,14056
Canada,Repatriated Travellers,13,0
Canada,Saskatchewan,128289,1135
Canada,Yukon,3485,22
Central African Republic,,14320,113
Chad,,7257,190
Chile,Antofagasta,115188,1415
Chile,Araucania,189666,1753
Chile,Arica y Parinacota,52914,641
Chile,Atacama,58562,428
Chile,Aysen,21896,130
Chile,Biobio,300380,3208
Chile,Coquimbo,109613,1264
Chile,Los Lagos,173571,1721
Chile,Los Rios,94269,853
Chile,Magallanes,47020,572
Chile,Maule,201348,2063
Chile,Metropolitana,1225676,21206
Chile,Nuble,84531,781
Chile,OHiggins,128941,1775
Chile,Tarapaca,77116,949
Chile,Unknown,43,0
Chile,Valparaiso,266700,4050
China,Anhui,1013,6
China,Beijing,1513,9
China,Chongqing,623,6
China,Fujian,1584,1
China,Gansu,370,2
China,Guangdong,5158,8
China,Guangxi,1174,2
China,Guizhou,162,2
China,Hainan,193,6
China,Hebei,1488,7
China,Heilongjiang,2093,13
China,Henan,2680,22
China,Hong Kong,403080,1554
China,Hubei,68378,4512
China,Hunan,1235,4
China,Inner Mongolia,1638,1
China,Jiangsu,1782,0
China,Jiangxi,959,1
China,Jilin,649,3
China,Liaoning,1031,2
China,Macau,82,0
China,Ningxia,122,0
China,Qinghai,30,0
China,Shaanxi,2826,3
China,Shandong,1158,7
China,Shanghai,4502,7
China,Shanxi,287,0
China,Sichuan,1499,3
China,Tianjin,1150,3
China,Tibet,1,0
China,Unknown,0,0
China,Xinjiang,996,3
China,Yunnan,1968,2
China,Zhejiang,2277,1
Colombia,Amazonas,7546,264
Colombia,Antioquia,916764,18180
Colombia,Arauca,16078,520
Colombia,Atlantico,401655,10107
Colombia,Bolivar,196720,3235
Colombia,Boyaca,124548,2766
Colombia,Caldas,116749,2517
Colombia,Capital District,1759444,29168
Colombia,Caqueta,24829,1011
Colombia,Casanare,41486,989
Colombia,Cauca,72031,1782
Colombia,Cesar,106150,2662
Colombia,Choco,18564,426
Colombia,Cordoba,118821,3924
Colombia,Cundinamarca,316910,7228
Colombia,Guainia,2753,37
Colombia,Guaviare,5580,105
Colombia,Huila,100069,3482
Colombia,La Guajira,56127,1514
Colombia,Magdalena,114615,3616
Colombia,Meta,104681,2519
Colombia,Narino,104298,3295
Colombia,Norte de Santander,119218,5049
Colombia,Putumayo,20440,767
Colombia,Quindio,70705,2047
Colombia,Risaralda,106143,2463
Colombia,San Andres y Providencia,10145,154
Colombia,Santander,282201,8126
Colombia,Sucre,65578,1711
Colombia,Tolima,124084,3980
Colombia,Unknown,0,300
Colombia,Valle del Cauca,539223,14960
Colombia,Vaupes,1882,19
Colombia,Vichada,3388,61
Comoros,,8047,160
Congo (Brazzaville),,24020,378
Congo (Kinshasa),,86154,1335
Costa Rica,,814583,8082
Cote d'Ivoire,,81534,795
Croatia,,1061429,15172
Cuba,,1071964,8498
Cyprus,,329674,873
Czechia,,3616640,38837
Denmark,Faroe Islands,34658,28
Denmark,Greenland,11806,20
Denmark,,2837501,4772
Diamond Princess,,712,13
Djibouti,,15550,189
Dominica,,11248,61
Dominican Republic,,575592,4370
Ecuador,,836216,35264
Egypt,,488763,24162
El Salvador,,156364,4083
Equatorial Guinea,,15885,183
Eritrea,,9708,103
Estonia,,511022,2275
Eswatini,,69290,1391
Ethiopia,,468895,7476
Fiji,,64019,834
Finland,,671773,2387
France,French Guiana,77765,392
France,French Polynesia,68425,642
France,Guadeloupe,124528,918
France,Martinique,116168,895
France,Mayotte,36703,187
France,New Caledonia,56833,302
France,Reunion,302162,666
France,Saint Barthelemy,3780,6
France,Saint Pierre and Miquelon,1102,1
France,St Martin,9912,63
France,Wallis and Futuna,454,7
France,,22340070,136065
Gabon,,47543,303
Gambia,,11948,365
Georgia,,1620639,16306
